brand,title,type,price,priceWithCurrency,available,availableText,sold,itemLocation,gender,update_year
Dior,Christian Dior Sauvage Men's EDP 3.4 oz Fragrance Spray,Eau de Parfum,84.99,US $84.99/ea,10.0,More than 10 available / 116 sold,116.0,"Allen Park, Michigan, United States",Men,2024
Unbranded,HOGO BOSS cologne For Men 3.4 oz,Eau de Toilette,100.0,US $100.00,10.0,More than 10 available / 27 sold,27.0,"Dearborn, Michigan, United States",Men,2024
Giorgio Armani,Acqua Di Gio by Giorgio Armani 6.7 Fl oz Eau De Toilette Spray Men' New & Sealed,Eau de Toilette,44.99,US $44.99/ea,2.0,2 available / 159 sold,159.0,"Reinholds, Pennsylvania, United States",Men,2024
Lattafa,Lattafa Men's Hayaati Al Maleky EDP Spray 3.4 oz Fragrances 6291108734056,Fragrances,16.91,US $16.91,0.0,Limited quantity available / 156 sold,156.0,"Brooklyn, New York, United States",Men,2024
Multiple Brands,Men's Perfume Sampler 10pcs Sample Vials Designer Fragrance Samples for Men,Perfume,14.99,US $14.99,10.0,More than 10 available / 79 sold,79.0,"Houston, Texas, United States",Men,2024
Maison Alhambra,Glacier Bold by Maison Alhambra 3.4oz EDP for Men NEW SEALED CAN,Eau de Parfum,30.99,US $30.99/ea,9.0,9 available / 39 sold,39.0,"Englewood Cliffs, New Jersey, United States",Men,2024
Unbranded,Parfums De-Marly-Haltane Eau de Parfum spray 4.2 oz for Men New in Box,Eau de Parfum,85.0,US $85.00,0.0,Last One / 6 sold,6.0,"Ithaca, New York, United States",Men,2024
Unbranded,Hawas for him Eau De Parfum By Rasasi 100ml 3.4 FL OZ NEW,/,15.89,US $15.89,10.0,10 available / 17 sold,17.0,"shanghai, China",Men,2024
Gucci,"Gucci Guilty for Him - Classic 3oz Eau de Toilette Spray, Brand New",Eau de Parfum,49.99,US $49.99/ea,8.0,8 available / 68 sold,68.0,"Dearborn Heights, Michigan, United States",Men,2024
Ralph Lauren,Polo Blue by Ralph Lauren 4.2 oz EDT Cologne for Men Brand New In Box,Eau de Toilette,34.99,US $34.99/ea,10.0,More than 10 available / 615 sold,615.0,"Ecorse, Michigan, United States",Men,2024
